microbe_id,kingdom,phylum,class,order,family,genus,species,gram_stain,gram_stain_citation,microbiome_location,microbiome_location_citation,antimicrobial_susceptibility,antimicrobial_susceptibility_citation,optimal_temperature,optimal_temperature_citation,extreme_environment,extreme_environment_citation,biofilm_forming,biofilm_forming_citation,optimal_ph,optimal_ph_citation,animal_pathogen,animal_pathogen_citation,spore_forming,spore_forming_citation,pathogenicity,pathogenicity_citation,plant_pathogen,plant_pathogen_citation
3860,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato leaf curl Sudan virus,,,,,,,,,,,,,,,,,,,,,,
3861,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato leaf deformation virus,,,,,,,,,,,,,,,,,,,,,,
3862,Viruses,Viruses noname,Viruses noname,Viruses noname,Poxviridae,Betaentomopoxvirus,Adoxophyes honmai entomopoxvirus L,,,,,,,,,,,,,,,,,,,,,1,
3863,Viruses,Viruses noname,Viruses noname,Viruses noname,Astroviridae,Mamastrovirus,HMO Astrovirus A,,,1,,0,,,,,,,,,,,,,,,,,
3864,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Pseudomonas phage JBD24,,,0,,,,,,0,,,,,,0,,,,,,0,
3865,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,Halococcus hamelinensis,0,,0,,,,37.0,,1,,,,6.5,,0,,,,1,,0,
3866,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,Myoviridae noname,Pseudomonas phage PAK P1,,,,,,,,,0,,0,,,,0,,0,,,,0,
3867,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp CIP 102529,0,,0,,,,,,,,,,,,0,,,,2,,0,
3868,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,1,,0,,,,,,1,,,,,,,,0,,,,,
3869,Viruses,Viruses noname,Viruses noname,Herpesvirales,Herpesviridae,Simplexvirus,Macacine herpesvirus 1,,,0,,,,,,0,,,,,,1,,,,,,0,
3870,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,Oribacterium sp ACB8,0,,1,,0,,37.0,,0,,,,,,1,,,,1,,0,
3871,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus caballi,1,,0,,,,,,0,,,,,,,,0,,2,,0,
3872,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Oligotropha,Oligotropha carboxidovorans,0,,0,,,,,,0,,,,,,0,,,,1,,0,
3873,Viruses,Viruses noname,Viruses noname,Viruses noname,Anelloviridae,Kappatorquevirus,Torque teno sus virus k2,,,0,,,,,,,,,,,,1,,,,,,,
3874,Viruses,Viruses noname,Viruses noname,Viruses noname,Retroviridae,Spumavirus,Equine foamy virus,,,0,,,,,,0,,,,,,1,,,,,,0,
3875,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,Pelotomaculum thermopropionicum,1,,0,,0,,53.0,,1,,,,9.75,,0,,1,,1,,0,
3876,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp oral taxon 879,,,1,,,,42.0,,0,,,,,,,,,,,,,
3877,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,PhiCD119likevirus,Clostridium phage phiCD27,,,,,,,,,0,,0,,,,0,,0,,,,0,
3878,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter sp 162MFSha1 1,1,,,,,,,,0,,,,,,0,,,,,,0,
3879,Viruses,Viruses noname,Viruses noname,Mononegavirales,Rhabdoviridae,Novirhabdovirus,Hirame rhabdovirus,,,0,,0,,,,,,,,,,1,,,,,,0,
3880,Viruses,Viruses noname,Viruses noname,Nidovirales,Mesoniviridae,Alphamesonivirus,Alphamesonivirus 1,,,0,,,,,,,,,,,,,,,,,,,
3881,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia,Slackia piriformis,1,,1,,,,37.0,,0,,,,,,,,0,,,,,
3882,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,1,,1,,0,,37.0,,0,,0,,6.7,,0,,0,,,,0,
3883,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Staphylococcus phage tp310 3,1,,,,,,,,,,,,,,,,0,,2,,,
3884,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia phymatum,0,,0,,,,,,0,,,,,,,,0,,,,0,
3885,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp 66c,1,,1,,,,,,1,,,,,,0,,0,,,,0,
3886,Viruses,Viruses noname,Viruses noname,Herpesvirales,Herpesviridae,Cytomegalovirus,Porcine cytomegalovirus,,,0,,,,,,0,,,,,,1,,,,,,0,
3887,Viruses,Viruses noname,Viruses noname,Viruses noname,Virgaviridae,Tobamovirus,Streptocarpus flower break virus,,,,,,,,,,,,,,,,,,,,,1,
3888,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thielavia,Thielavia terrestris,,,0,,,,50.0,,1,,,,,,0,,1,,,,0,
3889,Bacteria,Deinococcus Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus sp RL,,,,,,,,,,,,,,,,,,,,,,
3890,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato leaf curl Laos virus,,,,,,,,,,,,,,,,,,,,,,
3891,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis alexandrii,0,,0,,0,,,,1,,,,4.5,,0,,0,,,,0,
3892,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio albensis,0,,0,,,,,,0,,1,,,,1,,,,2,,0,
3893,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Teschovirus,Porcine teschovirus,,,0,,,,,,0,,,,,,1,,,,,,0,
3894,Viruses,Viruses noname,Viruses noname,Viruses noname,Potyviridae,Poacevirus,Caladenia virus A,,,,,,,,,,,,,,,,,,,,,0,
3895,Viruses,Viruses noname,Viruses noname,Picornavirales,Secoviridae,Torradovirus,Tomato marchitez virus,,,0,,,,,,0,,,,,,0,,,,,,1,
3896,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus coryniformis,1,,,,,,37.0,,,,,,,,,,,,,,,
3897,Bacteria,Deinococcus Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus aquatilis,1,,,,0,,25.5,,,,,,8.25,,0,,0,,,,0,
3898,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella doshiae,0,,0,,,,,,0,,,,7.3,,1,,,,2,,0,
3899,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Cronobacter malonaticus,0,,0,,1,,30.0,,0,,1,,,,1,,0,,2,,0,
3900,Viruses,Viruses noname,Viruses noname,Viruses noname,Papillomaviridae,Deltapapillomavirus,Deltapapillomavirus 5,,,0,,,,,,0,,,,,,1,,,,,,0,
3901,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Xanthomonas phage OP1,,,0,,,,,,0,,,,,,0,,,,,,0,
3902,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Tobacco leaf curl disease associated sequence,,,0,,,,,,,,,,,,0,,,,,,,
3903,Viruses,Viruses noname,Viruses noname,Viruses noname,Luteoviridae,Polerovirus,Beet mild yellowing virus,,,0,,,,,,0,,,,,,1,,,,,,0,
3904,Archaea,Crenarchaeota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,Fervidicoccus fontis,,,0,,,,67.5,,1,,,,5.75,,,,,,,,,
3905,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma cynos,,,,,,,37.0,,,,1,,,,1,,0,,2,,0,
3906,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus,1,,0,,,,,,,,,,,,0,,1,,1,,0,
3907,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp BTAi1,0,,0,,,,,,0,,,,,,0,,,,1,,0,
3908,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Salmonella phage SPN3UB,,,0,,,,,,0,,,,,,0,,,,,,0,
3909,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Corchorus yellow vein mosaic betasatellite,,,0,,,,,,,,,,,,,,,,,,1,
3910,Viruses,Viruses noname,Viruses noname,Viruses noname,Retroviridae,Betaretrovirus,Simian retrovirus 4,,,0,,0,,,,0,,,,,,1,,,,,,0,
3911,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Potato yellow mosaic Panama virus,,,0,,,,,,0,,,,,,0,,,,,,1,
3912,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp oral taxon 181,1,,1,,,,,,0,,,,,,0,,0,,,,0,
3913,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Enterovirus,Enterovirus G,,,,,,,,,,,,,,,,,,,,,,
3914,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter zeaxanthinifaciens,0,,0,,,,36.0,,1,,,,8.25,,,,0,,,,,
3915,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI Incertae Sedis,Anaerococcus,Anaerococcus vaginalis,1,,1,,1,,37.0,,0,,,,,,,,0,,2,,,
3916,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp S4,1,,0,,,,32.5,,,,,,,,,,1,,,,0,
3917,Viruses,Viruses noname,Viruses noname,Viruses noname,Flaviviridae,Pestivirus,Border disease virus,,,0,,0,,,,0,,,,,,1,,,,,,0,
3918,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Parascardovia,Parascardovia denticolens,1,,1,,,,37.0,,0,,,,5.2,,1,,0,,,,0,
3919,Viruses,Viruses noname,Viruses noname,Mononegavirales,Paramyxoviridae,Rubulavirus,Tioman virus,,,0,,0,,,,0,,0,,,,1,,0,,,,0,
3920,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia bryophila,0,,,,,,,,,,,,6.8,,,,0,,,,0,
3921,Viruses,Viruses noname,Viruses noname,Tymovirales,Alphaflexiviridae,Potexvirus,Mint virus X,,,,,,,,,,,,,,,,,,,,,1,
3922,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces filamentosus,1,,0,,,,26.0,,0,,,,,,0,,1,,1,,0,
3923,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas naphthalenivorans,0,,0,,,,20.0,,0,,,,7.25,,0,,0,,,,0,
3924,Viruses,Viruses noname,Viruses noname,Viruses noname,Polyomaviridae,Polyomavirus,BK polyomavirus,,,0,,0,,,,,,,,,,1,,,,,,0,
3925,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella melophagi,1,,1,,1,,,,0,,,,,,1,,,,,,0,
3926,Viruses,Viruses noname,Viruses noname,Viruses noname,Caliciviridae,Caliciviridae noname,Canine calicivirus,,,0,,,,,,0,,,,,,1,,,,,,0,
3927,Viruses,Viruses noname,Viruses noname,Viruses noname,Closteroviridae,Ampelovirus,Grapevine leafroll associated virus 6,,,0,,0,,,,,,0,,,,0,,0,,,,1,
3928,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp L2 50,1,,1,,,,,,0,,,,,,,,1,,,,,
3929,Bacteria,Cyanobacteria,Cyanobacteria noname,Oscillatoriales,Oscillatoriales noname,Leptolyngbya,Leptolyngbya sp PCC 7376,0,,0,,0,,32.5,,,,,,,,0,,,,,,0,
3930,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria noname,Actinobacteria noname,Actinobacteria noname,actinobacterium SCGC AAA278 O22,,,0,,,,,,0,,,,,,0,,,,1,,0,
3931,Viruses,Viruses noname,Viruses noname,Viruses noname,Arenaviridae,Arenavirus,Pichinde virus,,,0,,,,,,0,,,,,,1,,,,,,0,
3932,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Podoviridae noname,Cyanophage NATL2A 133,,,,,,,,,0,,0,,,,0,,0,,,,0,
3933,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,0,,0,,1,,,,0,,,,,,1,,,,2,,0,
3934,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Cellulophaga phage phi12 1,,,,,,,,,0,,0,,,,0,,0,,,,0,
3935,Viruses,Viruses noname,Viruses noname,Viruses noname,Partitiviridae,Partitiviridae noname,Raphanus sativus cryptic virus 1,,,0,,0,,,,,,,,,,0,,,,,,1,
3936,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales noname,Bacteroidales noname,Bacteroidales bacterium ph8,1,,1,,,,,,,,,,,,,,,,,,,
3937,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornaviridae,Parechovirus,Sebokele virus 1,,,,,,,,,,,,,,,,,,,,,,
3938,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia,Grimontia hollisae,,,0,,,,30.0,,,,,,,,,,,,2,,0,
3939,Viruses,Viruses noname,Viruses noname,Viruses noname,Microviridae,Microvirus,Enterobacteria phage St 1,,,,,,,,,1,,,,,,,,0,,,,,
3940,Viruses,Viruses noname,Viruses noname,Viruses noname,Arenaviridae,Arenavirus,Mopeia virus,,,,,,,,,,,,,,,,,,,,,,
3941,Viruses,Viruses noname,Viruses noname,Viruses noname,Caulimoviridae,Badnavirus,Banana streak UI virus,,,0,,,,,,0,,,,,,0,,,,,,1,
3942,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thioalkalimicrobium,Thioalkalimicrobium aerophilum,0,,,,,,,,0,,,,10.0,,,,,,,,,
3943,Viruses,Viruses noname,Viruses noname,Viruses noname,Flaviviridae,Flavivirus,Cell fusing agent virus,,,0,,,,,,0,,,,,,0,,,,,,0,
3944,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp BT1B CT2,,,,,,,,,,,,,,,,,,,,,,
3945,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma alkalescens,,,,,,,,,,,,,,,,,,,,,,
3946,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp PsTaAH 124,1,,0,,,,,,,,,,,,,,1,,,,0,
3947,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thioalkalimicrobium,Thioalkalimicrobium cyclicum,0,,,,,,,,1,,,,10.0,,,,,,,,,
3948,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella tribocorum,0,,0,,0,,,,0,,0,,,,0,,0,,,,0,
3949,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius,1,,0,,0,,60.0,,1,,,,3.5,,0,,1,,,,0,
3950,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato yellow spot virus,,,,,,,,,,,,,,,,,,,,,,
3951,Viruses,Viruses noname,Viruses noname,Viruses noname,Totiviridae,Victorivirus,Gremmeniella abietina RNA virus L1,,,,,,,,,,,,,,,,,,,,,,
3952,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas phyllosphaerae,0,,,,0,,,,0,,0,,,,0,,0,,,,,
3953,Viruses,Viruses noname,Viruses noname,Viruses noname,Togaviridae,Alphavirus,Eilat virus,,,0,,,,,,0,,,,,,1,,,,,,0,
3954,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp KPL1817,1,,1,,,,,,0,,,,,,0,,,,,,0,
3955,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis orientalis,1,,0,,,,26.0,,0,,1,,,,0,,1,,2,,0,
3956,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp AA0539,1,,0,,,,,,0,,,,8.2,,,,1,,,,0,
3957,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Podoviridae noname,Pseudomonas phage Bf7,,,,,,,,,0,,0,,,,0,,0,,,,0,
3958,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus sp HPP0074,1,,1,,0,,37.0,,1,,0,,,,0,,,,,,0,
3959,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp IITKGP BTPF85,0,,0,,,,5.0,,1,,,,,,,,0,,,,,
3960,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas,Aureimonas ureilytica,0,,0,,0,,30.0,,0,,,,,,0,,,,1,,0,
3961,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter sp K31,0,,0,,0,,30.0,,0,,,,,,0,,,,1,,0,
3962,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Sobemovirus,Rice yellow mottle virus,,,0,,,,,,,,0,,,,0,,0,,,,1,
3963,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides plebeius,0,,1,,,,32.5,,0,,,,,,,,0,,,,,
3964,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea japonica,0,,0,,1,,23.0,,,,,,7.25,,,,,,1,,,
3965,Viruses,Viruses noname,Viruses noname,Picornavirales,Secoviridae,Comovirus,Red clover mottle virus,,,0,,,,,,0,,,,,,0,,,,,,1,
3966,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Thauera,Thauera terpenica,0,,0,,,,,,0,,,,,,,,,,1,,,
3967,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Leptospiraceae,Leptospira,Leptospira sp B5 022,,,,,0,,,,0,,0,,7.4,,1,,0,,,,0,
3968,Viruses,Viruses noname,Viruses noname,Viruses noname,Circoviridae,Circovirus,Porcine circovirus 1,,,0,,,,,,0,,,,,,0,,,,,,0,
3969,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Streptococcus pyogenes phage 315 3,1,,1,,1,,,,0,,1,,,,1,,0,,2,,0,
3970,Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella,Gallionella sp SCGC AAA018 N21,,,0,,,,,,,,,,,,,,,,,,,
3971,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Lambdalikevirus,Streptomyces phage VWB,,,,,,,,,0,,0,,,,0,,0,,,,0,
3972,Viruses,Viruses noname,Viruses noname,Viruses noname,Narnaviridae,Mitovirus,Clitocybe odora virus,,,,,,,,,,,,,,,,,,,,,,
3973,Viruses,Viruses noname,Viruses noname,Viruses noname,Adenoviridae,Mastadenovirus,Simian adenovirus B,,,0,,,,37.0,,0,,,,,,0,,,,,,0,
3974,Viruses,Viruses noname,Viruses noname,Viruses noname,Astroviridae,Avastrovirus,Duck astrovirus GII A,,,1,,0,,,,,,,,,,,,,,,,,
3975,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,,,,,,,,,,,,,,,,,,,,,,
3976,Viruses,Viruses noname,Viruses noname,Viruses noname,Endornaviridae,Endornavirus,Vicia faba endornavirus,,,0,,,,,,0,,,,,,0,,,,,,1,
3977,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas resinovorans,0,,,,,,30.0,,,,,,,,,,,,2,,,
3978,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma diminutum,,,,,,,,,,,,,6.699999999999999,,,,,,,,1,
3979,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Alphabaculovirus,Lymantria xylina MNPV,,,,,,,,,,,,,,,,,,,,,,
3980,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Erectites yellow mosaic virus satellite DNA beta,,,,,,,,,,,,,,,0,,,,,,1,
3981,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Pelosinus,Pelosinus fermentans,0,,0,,,,26.0,,0,,,,7.0,,,,1,,,,,
3982,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp 2 1 16,0,,1,,,,,,,,,,,,,,0,,,,,
3983,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,Oceanibaculum indicum,0,,0,,,,26.0,,1,,0,,,,0,,0,,,,0,
3984,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces somaliensis,1,,1,,1,,26.0,,0,,,,,,1,,1,,2,,0,
3985,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Erectites yellow mosaic virus,,,0,,,,,,,,,,,,,,,,,,1,
3986,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria noname,Alphaproteobacteria noname,Alphaproteobacteria noname,alpha proteobacterium HIMB114,0,,0,,,,,,0,,,,,,1,,,,,,0,
3987,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,T4likevirus,Synechococcus phage S MbCM6,,,,,,,,,0,,0,,,,0,,0,,,,0,
3988,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Maricaulis,Maricaulis sp JL2009,0,,0,,0,,,,1,,,,,,0,,0,,,,0,
3989,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato severe rugose virus,,,,,,,,,,,,,,,,,,,,,,
3990,Viruses,Viruses noname,Viruses noname,Viruses noname,Papillomaviridae,Papillomaviridae noname,Equine papillomavirus 3,,,,,,,,,,,,,,,1,,,,,,0,
3991,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronolimnobius,Natronolimnobius innermongolicus,0,,0,,,,41.0,,1,,,,9.25,,0,,,,,,0,
3992,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Streptobacillus,Streptobacillus moniliformis,,,,,,,,,,,,,,,,,,,,,,
3993,Bacteria,Aquificae,Aquificae,Aquificales,Desulfurobacteriaceae,Desulfurobacterium,Desulfurobacterium thermolithotrophum,0,,0,,0,,70.0,,1,,,,6.0,,0,,0,,,,0,
3994,Viruses,Viruses noname,Viruses noname,Nidovirales,Coronaviridae,Alphacoronavirus,Porcine epidemic diarrhea virus,,,,,,,,,,,,,,,1,,,,,,,
3995,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Staphylococcus phage SA12,,,1,,,,,,0,,,,,,0,,,,,,0,
3996,Bacteria,Cyanobacteria,Cyanobacteria noname,Stigonematales,Stigonematales noname,Mastigocladopsis,Mastigocladopsis repens,0,,0,,,,,,,,,,,,,,,,,,,
3997,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus sp A8,,,,,,,,,,,,,,,,,,,,,,
3998,Viruses,Viruses noname,Viruses noname,Viruses noname,Totiviridae,Totivirus,Xanthophyllomyces dendrorhous virus L1A,,,,,,,,,,,,,,,,,,,,,,
3999,Viruses,Viruses noname,Viruses noname,Viruses noname,Partitiviridae,Partitivirus,Penicillium stoloniferum virus F,,,,,,,,,,,,,,,,,,,,,,
4000,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,0,,1,,,,37.0,,1,,,,,,1,,0,,2,,0,
4001,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Euphorbia yellow mosaic virus,,,0,,0,,,,,,,,,,0,,,,,,1,
4002,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,Hydrogenobaculum sp SN,0,,0,,,,70.0,,1,,,,3.385,,,,,,,,,
4003,Viruses,Viruses noname,Viruses noname,Picornavirales,Iflaviridae,Iflavirus,Brevicoryne brassicae picorna like virus,,,0,,0,,,,0,,,,,,1,,,,,,0,
4004,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Pepper huasteco yellow vein virus,,,,,,,,,,,,,,,,,,,,,1,
4005,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella saccharolytica,0,,1,,0,,35.0,,0,,0,,7.0,,0,,,,,,0,
4006,Bacteria,Cyanobacteria,Cyanobacteria noname,Chroococcales,Chroococcales noname,Synechococcus,Synechococcus sp RS9916,0,,0,,0,,32.5,,,,,,,,0,,,,,,0,
4007,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thiorhodospira,Thiorhodospira sibirica,,,,,,,,,1,,,,9.0,,,,,,,,,
4008,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Gossypium davidsonii symptomless alphasatellite,,,,,,,,,,,,,,,,,,,,,0,
4009,Viruses,Viruses noname,Viruses noname,Picornavirales,Secoviridae,Secoviridae noname,Black raspberry necrosis virus,,,0,,,,,,0,,,,,,0,,,,,,1,
4010,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia sp AS12,0,,0,,1,,28.0,,0,,1,,,,,,0,,,,,
4011,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus caprae capitis,1,,1,,1,,37.0,,0,,1,,,,,,0,,2,,0,
4012,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato leaf curl Bangladesh virus,,,,,,,,,,,,,,,,,,,,,,
4013,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fulva,0,,0,,1,,,,0,,0,,,,0,,0,,,,0,
