Original,New
mucus,unclassified
mud of hot spring spa,water_hotspring
mud sediment,sediment
nasopharynx,host_animal_endotherm_nasopharyngeal
"necropsy lung, liver and kidney tissue",host_animal_endotherm_intratissue
necrotic lesions in the mouth,host_animal_endotherm_oral
neutral soil and freshwater,unclassified
no,unclassified
north atlantic rise deep-sea sediment,sediment_marine_deep
obscured,unclassified
oil-immersed sample,petroleum
oil contaminated tidal flat,petroleum
oil field,petroleum
oil produced water,petroleum
oil production brine,petroleum
open ocean,water_marine
oral,host_animal_endotherm_oral
oral cavity,host_animal_endotherm_oral
orchid house soil,soil_agricultural
organic chicken farm,unclassified
oropharynx,host_animal_endotherm_oral
ovary from adult female,host_animal_endotherm_intratissue
pah contaminated soil,soil_hydrocarbon_contaminated
palm brown sugar,food
periapical abscess,host_animal_endotherm_oral
peridontal pocket,host_animal_endotherm_oral
periodontal pocket,host_animal_endotherm_oral
periodontitis lesion,host_animal_endotherm_oral
peripheral blood,host_animal_endotherm_blood
peritoneal abscess,host_animal_endotherm
phaseolus vulgaris root nodule,host_plant_rootnodule
pickled mackerel sashimi,food
pig with catarrhal pneumonia,host_animal_endotherm_nasopharyngeal
pig with exfoliative dermatitis,host_animal_endotherm_surface
pilsner beer,food
plant (maize/sorghum/rice),host_plant
pond water,water_fresh
pool at botanical garden,water_fresh
production water from an oil well,petroleum
pus,host_animal_endotherm
qaidam basin,unclassified
rabbit feces,host_animal_endotherm_feces
rabbit tick,host_animal_ectotherm
respiratory tract tissue,host_animal_endotherm_nasopharyngeal
rhizosphere,host_plant_root-associated
rhizosphere soil,host_plant_root-associated
rhizospheric soil of grasses,host_plant_root-associated
rice paddy; rice paddy,soil_agricultural
rice seeds,host_plant
river sediment with paper mill waste,sediment_fresh
riverslea oil field,petroleum
rock (envo:00001995),rock
roots,host_plant_rootnodule
rumen,host_animal_endotherm_rumen
rumen contents,host_animal_endotherm_rumen
rumen fluid,host_animal_endotherm_rumen
rumen of hay-fed sheep,host_animal_endotherm_rumen
"saeu-jeotgal, salted fermented food",food_fermented
"salar de atacama, atacama desert",sediment_hypersaline
salt marsh,sediment_marine
sand,sediment
scallop,host_animal_ectotherm
sea,water_marine
sea-ice,water_marine_cold
sea-tidal flat,sediment_marine
sea water aquarium outflow,water_marine
seawater collected from a tide pool,water_marine
seawater from mussel farm,water_marine
seawater surface,water_marine
seaweed,host_algae
sediment of alkaline lake,sediment_fresh_alkaline
sediment of arctic,sediment_marine_cold
sediment of freshwater lake,sediment_fresh
sediment of ink pot hot spring,water_hotspring
sediment of lake shangmatala,sediment_hypersaline
semen,host_animal_endotherm
sewage sludge,sludge
shallow pond,water_fresh
short cloud forest soil,soil_forest
siberian permafrost,soil_organic_permafrost
sick cider,food
silkworm feces,host_animal_ectotherm
silty clay loam soil (ph 6.1),soil
sink aerator,unclassified
skin lesion,host_animal_endotherm
sludge,sludge
slush of soda lake,sediment_fresh_alkaline
soda lake lake magadi,water_fresh_alkaline
soil aquifer system,water_groundwater_surface
soil cultivated with korean ginseng,soil_agricultural
soil from wheat roots,host_plant_root-associated
soil in orchid house,soil_agricultural
soil near hot water effluent,soil_contaminated
soil of a rice field,soil_agricultural
soil of hengshui lake,soil_marshland
solar lake,water_hypersaline
solar saltern of 19% salinity,water_hypersaline
solid waste landfill sample,water_hypersaline
soy sauce mash,food
spleen of wild mouse,host_animal_endotherm_intratissue
spleen tissue from parrot (polytelis),host_animal_endotherm_intratissue
spring barley rhizosphere,host_plant_root-associated
spring water (hunter's hot spring),water_hotspring
stable grass silage,litter
sterile tools,unclassified
stomach of wild stranded animal,host_animal_endotherm_intestinal
stool (adult),host_animal_endotherm_feces
strawberry leaf tissue,host_plant_leaf-associated
stream water,water_fresh
subcutaneous granuloma,host_animal_endotherm_intratissue
subgingival sulcus,host_animal_endotherm_oral
sulfuric hot spring,water_hotspring
superficial sediment of polluted river,sediment_fresh
surface-sterilized wheat roots,host_plant_root-associated
surface sediment,sediment
surface sewater,water_marine
surface water,water
surface water of swan lake,water_fresh
swine waste primary lagoon sediment,sludge
tar pits,petroleum
termite gut,host_animal_ectotherm
termite hindgut,host_animal_ectotherm
terrestrial hot spring,water_hotspring
thais luteostoma,host_animal_ectotherm
the brine of stinky tofu,food
the wound exudate of bone fracture,host_animal_endotherm_intratissue
tick,host_animal_ectotherm
timothy grass silage,litter
tissue from oliver flounder,host_animal_ectotherm
tomato field,soil_agricultural
traditional dairy,food
traditional pickle,food
tropical soil,soil
unialgal culture in lake water,bioreactor/digester
unialgal culture in marine water,bioreactor/digester
unknown human clinical source,host_animal_endotherm
urine,host_animal_endotherm
uterus,host_animal_endotherm_intratissue
uterus of a maiden mare,host_animal_endotherm_intratissue
vaginal environment,host_animal_endotherm_vagina
warm spring water,water_hotspring
washed fiber of faecal sample,host_animal_endotherm_feces
water and sand,sediment
water from a salt pit,water_hypersaline
water from surface of lake,water_fresh
water pipe,water_fresh
water sample,water
water sample louisiana bayou,water_brackish
"water, [envo:00002006]",water
"water, most likely pond",water_fresh
whole body,host_animal
wing,host_animal_endotherm
withdrawn fluid,unclassified
wolfram mine tailing,unclassified
yak milk,milk
yeongdeuk-gun,unclassified
zebra chip-infected potato field,soil_agricultural
70c,unclassified
"engineered, bioreactor, continuous culture",bioreactor/digester
"engineered, bioremediation, hydrocarbon",unclassified
"engineered, built environment, city",built_environment_surfaces
"engineered, built environment, oil refinery, petroleum sludge, crude oil sludge",petroleum
"engineered, food production, commensal",food
"engineered, food production, dairy products, symbiotic, commensal",food
"engineered, food production, dairy products, symbiotic, mutualistic",food
"engineered, food production, free living, commensal",food
"engineered, food production, free living, parasitic",food
"engineered, lab enrichment, syntrophic",unclassified
"engineered, lab synthesis, symbiotic",unclassified
"engineered, lab synthesis, symbiotic, commensal",unclassified
"engineered, lab synthesis, symbiotic, mutualistic",unclassified
"engineered, lab synthesis, symbiotic, parasitic",unclassified
"engineered, laboratory developed, genetically modified, free living",unclassified
"engineered, solid waste, free living",unclassified
"engineered, wastewater, anaerobic digestor",bioreactor/digester
"engineered, wastewater, industrial wastewater, pulp and paper wastewater",wastewater
"engineered, wastewater, industrial wastewater, pulp and paper wastewater, free living",wastewater
"engineered, wastewater, nutrient removal, dissolved organics (anaerobic)",wastewater
"engineered, wastewater, nutrient removal, nitrogen removal, anammox",wastewater
"engineered, wastewater, symbiotic",wastewater
"engineered, wastewater, symbiotic, mutualistic",wastewater
"engineered, wastewater, syntrophic",wastewater
"environmental, aquatic, freshwater, lentic, limnetic zone",water_fresh
"environmental, aquatic, freshwater, lotic, sediment, symbiotic",sediment_fresh
"environmental, aquatic, freshwater, symbiotic",water_fresh
"environmental, aquatic, freshwater, wetlands, sediment, free living",soil_marshland
"environmental, aquatic, marine, coastal, sediment, free living",sediment_marine
"environmental, aquatic, marine, cold seeps, sediment",sediment_marine
"environmental, aquatic, marine, free living, commensal",water_marine
"environmental, aquatic, marine, harbor",water_marine
"environmental, aquatic, marine, hydrothermal vents, symbiotic",water_marine_hydrothermal
"environmental, aquatic, marine, intertidal zone, coral reef, free living",sediment_marine
"environmental, aquatic, marine, intertidal zone, mangrove swamp",sediment_marine
"environmental, aquatic, marine, intertidal zone, mangrove swamp, free living",sediment_marine
"environmental, aquatic, marine, marginal sea, symbiotic, mutualistic",water_marine
"environmental, aquatic, marine, neritic zone, oil-contaminated sediment",sediment_marine
"environmental, aquatic, marine, oceanic, abyssal plane",water_marine_deep
"environmental, aquatic, marine, oceanic, oil-contaminated sediment, free living",petroleum
"environmental, aquatic, marine, symbiotic, mutualistic",water_marine
"environmental, aquatic, marine, symbiotic, parasitic",water_marine
"environmental, aquatic, marine, wetlands",water_marine
"environmental, aquatic, marine, wetlands, sediment",sediment_marine
"environmental, aquatic, non-marine saline and alkaline, alkaline",sediment_fresh_alkaline
"environmental, aquatic, non-marine saline and alkaline, hypersaline, microbial mats",sediment_fresh_alkaline
"environmental, aquatic, non-marine saline and alkaline, saline, epilimnion, free living",sediment_fresh_alkaline
"environmental, aquatic, non-marine saline and alkaline, saline, sediment, free living",sediment_fresh_alkaline
"environmental, aquatic, non-marine saline and alkaline, saline, thalassic, free living",water_fresh_alkaline
"environmental, aquatic, sediment, symbiotic",sediment
"environmental, aquatic, thermal springs, hot (42-90c), acidic, free living",water_hotspring
"environmental, aquatic, thermal springs, hot (42-90c), alkaline",water_hotspring
"environmental, aquatic, thermal springs, hot (42-90c), alkaline, free living",water_hotspring
"environmental, aquatic, thermal springs, hot (42-90c), free living",water_hotspring
"environmental, aquatic, thermal springs, hot (42-90c), neutral",water_hotspring
"environmental, aquatic, thermal springs, thermophile",water_hotspring
"environmental, aquatic, thermal springs, warm (34-42c), neutral",water_hotspring
"environmental, terrestrial, agricultural field, symbiotic",soil_agricultural
"environmental, terrestrial, deep subsurface, aquifer",water_groundwater_deepsubsurface
"environmental, terrestrial, plant litter",soil
"environmental, terrestrial, rock-dwelling (subaerial biofilms)",rock_surface
"environmental, terrestrial, soil, 28c",soil
"environmental, terrestrial, soil, agricultural land, free living, mutualistic",soil_agricultural
"environmental, terrestrial, soil, agricultural, free living",soil_agricultural
"environmental, terrestrial, soil, free living, mutualistic",soil
"environmental, terrestrial, soil, grasslands, free living",soil_grassland
"environmental, terrestrial, soil, loam, contaminated",soil_contaminated
"environmental, terrestrial, soil, loam, grasslands",soil_grassland
"environmental, terrestrial, soil, mine drainage",soil_contaminated
"environmental, terrestrial, soil, sand, forest soil",soil_forest
"environmental, terrestrial, soil, sand, free living",soil
"environmental, terrestrial, volcanic, fumaroles",volcanic_active
"free-living, endophytic",host_plant_leaf-associated
"host-associated, algae, diatom, skeletonema costatum, skeletonema costatum ccap 1077/1c",host_algae
"host-associated, algae, symbiotic, parasitic",host_algae
"host-associated, amphibia, digestive system",host_animal_ectotherm
"host-associated, amphibia, excretory system",host_animal_ectotherm
"host-associated, animal, circulatory system, symbiotic",host_animal_endotherm_blood
"host-associated, animal, circulatory system, symbiotic, parasitic",host_animal_endotherm_blood
"host-associated, animal, digestive system, fecal, symbiotic",host_animal_endotherm_intestinal
"host-associated, animal, digestive system, fecal, symbiotic, commensal",host_animal_endotherm_intestinal
"host-associated, animal, digestive system, fecal, symbiotic, mutualistic",host_animal_endotherm_intestinal
"host-associated, animal, digestive system, free living, commensal",host_animal_endotherm_intestinal
"host-associated, animal, digestive system, free living, mutualistic",host_animal_endotherm_intestinal
"host-associated, animal, reproductive system, symbiotic, mutualistic",host_animal_endotherm_intratissue
"host-associated, animal, respiratory system, symbiotic",host_animal_endotherm_nasopharyngeal
"host-associated, animal, respiratory system, symbiotic, commensal",host_animal_endotherm_nasopharyngeal
"host-associated, arthropoda, digestive system, gut",host_animal_ectotherm
"host-associated, arthropoda, intracellular endosymbionts, symbiotic",host_animal_ectotherm
"host-associated, arthropoda, symbiotic",host_animal_ectotherm
"host-associated, arthropoda, symbiotic, commensal",host_animal_ectotherm
"host-associated, birds, circulatory system, blood, symbiotic",host_animal_endotherm_blood
"host-associated, birds, digestive system, fecal, free living",host_animal_endotherm_intestinal
"host-associated, birds, reproductive system, free living",host_animal_endotherm
"host-associated, birds, symbiotic, mutualistic",host_animal_endotherm
"host-associated, fish, circulatory system, blood",host_animal_ectotherm
"host-associated, fish, digestive system, intestine",host_animal_ectotherm
"host-associated, fish, reproductive system, free living",host_animal_ectotherm
"host-associated, fish, symbiotic",host_animal_ectotherm
"host-associated, free living, commensal",host
"host-associated, fungi, lichen",host_fungus
"host-associated, fungi, symbiotic, commensal",host_fungus
"host-associated, fungi, symbiotic, syntrophic",host_fungus
"host-associated, human, circulatory system, blood, plasma",host_animal_endotherm_blood
"host-associated, human, circulatory system, blood, serum",host_animal_endotherm_blood
"host-associated, human, digestive system, free living, commensal",host_animal_endotherm_intestinal
"host-associated, human, digestive system, large intestine, fecal, free living, mutualistic",host_animal_endotherm_intestinal
"host-associated, human, digestive system, large intestine, fecal, symbiotic",host_animal_endotherm_intestinal
"host-associated, human, digestive system, oral, periodontal pockets",host_animal_endotherm_oral
"host-associated, human, digestive system, oral, periodontal pockets, free living",host_animal_endotherm_oral
"host-associated, human, digestive system, oral, symbiotic",host_animal_endotherm_oral
"host-associated, human, digestive system, oral, symbiotic, commensal",host_animal_endotherm_oral
"host-associated, human, digestive system, oral, throat, free living",host_animal_endotherm_oral
"host-associated, human, digestive system, symbiotic, commensal",host_animal_endotherm_intestinal
"host-associated, human, excretory system, free living",host_animal_endotherm
"host-associated, human, lympathic system, lymph nodes, free living",host_animal_endotherm_intratissue
"host-associated, human, milk, free living",milk
"host-associated, human, nervous system, free living",host_animal_endotherm_intratissue
"host-associated, human, reproductive system, symbiotic, parasitic",host_animal_endotherm
"host-associated, human, respiratory system, nasopharyngeal, pharynx",host_animal_endotherm_nasopharyngeal
"host-associated, human, skin, commensal",host_animal_endotherm_surface
"host-associated, human, symbiotic, commensal",host_animal_endotherm
"host-associated, human, symbiotic, mutualistic",host_animal_endotherm
"host-associated, insecta, digestive system, free living, commensal",host_animal_ectotherm
"host-associated, insecta, symbiotic, syntrophic",host_animal_ectotherm
"host-associated, invertebrates, nematoda, free living, mutualistic",host_animal_ectotherm
"host-associated, mammals, circulatory system, free living",host_animal_endotherm_blood
"host-associated, mammals, commensal",host_animal_endotherm
"host-associated, mammals, digestive system, commensal",host_animal_endotherm_intestinal
"host-associated, mammals, digestive system, large intestine, fecal, symbiotic, commensal",host_animal_endotherm_intestinal
"host-associated, mammals, digestive system, stomach, rumen, free living",host_animal_endotherm_rumen
"host-associated, mammals, digestive system, symbiotic",host_animal_endotherm_intestinal
"host-associated, mammals, digestive system, symbiotic, parasitic",host_animal_endotherm_intestinal
"host-associated, mammals, gastrointestinal tract, intestine, fecal",host_animal_endotherm_intestinal
"host-associated, mammals, reproductive system, symbiotic",host_animal_endotherm
"host-associated, mammals, reproductive system, symbiotic, parasitic",host_animal_endotherm
"host-associated, mammals, respiratory system, commensal",host_animal_endotherm_nasopharyngeal
"host-associated, mammals, respiratory system, nasopharyngeal, nasal cavity, free living",host_animal_endotherm_nasopharyngeal
"host-associated, mollusca, digestive system, glands",host_animal_ectotherm
"host-associated, mollusca, digestive system, symbiotic",host_animal_ectotherm
"host-associated, mollusca, respiratory system, gills, symbiotic",host_animal_ectotherm
"host-associated, mollusca, symbiotic, commensal",host_animal_ectotherm
"host-associated, mollusca, symbiotic, mutualistic",host_animal_ectotherm
"host-associated, mollusca, symbiotic, parasitic",host_animal_ectotherm
"host-associated, plants, leaf, free living",host_plant_leaf-associated
"host-associated, plants, mutualistic",host_plant
"host-associated, plants, phylloplane, symbiotic",host_plant_leaf-associated
"host-associated, plants, rhizome, symbiotic",host_plant_root-associated
"host-associated, plants, rhizoplane, free-living, endophytic",host_plant_root-associated
"host-associated, plants, rhizoplane, free living, commensal",host_plant_root-associated
"host-associated, plants, rhizoplane, free living, syntrophic",host_plant_root-associated
"host-associated, plants, rhizosphere, free living",host_plant_root-associated
"host-associated, protists, free living",host_animal_ectotherm
"host-associated, protozoa, free living",host_animal_ectotherm
"host-associated, protozoa, symbiotic, parasitic",host_animal_ectotherm
"host-associated, symbiotic, commensal",host
"host-associated, symbiotic, syntrophic",host
peltigera membranacea cyanobiont,host_fungus
"Sediment cores collected in Aarhus Bay, a semi-enclosed embayment on the east coast of Jutland, Denmark (56° 09' N, 10° 19' E)",sediment_marine
Sediment samples collected from four Egyptian lakes of the Wadi el Natrun.,sediment_fresh_alkaline
"Sample isolated from a sample of 2.0 m deep Holocene permafrost sediments, Kolyma lowland, Russia (70°06’N, 154° 04’E).",soil_organic_permafrost
Sample isolated from an anaerobic digester for the treatment of beer-manufacture wastewater.,bioreactor/digester
"Native unpolluted groundwater samples from the Floridan Aquifer near West Palm Beach, Florida (USA).",water_groundwater
Sample from anaerobic digestor treating raw cassava peel.,bioreactor/digester
"Sample from the anoxic zone of the primary sludge of the E. B. Eddy Forest Products Ltd. (Espanola, Ontario, Canada) bleach kraft mill.",sludge
Sample from the interior surface of a pipe transporting natural gas- containing brine in the southern Kanto gas field in Japan.,petroleum
"Sediment samples collected from Gahai lake, Qaidam Basin.",sediment_hypersaline
"Sample obtained from a domestic sewage sludge digestor in Urbana, Ilinois.",sludge
Sample from rock core.,rock
"Sample from a rice field plot at Kanagi Farm of the Teaching and Research Center for Bio-coexistence, University Farm, Faculty of Agriculture and Life Science, Hirosaki University.",soil_agricultural
"Sample isolated from the profundal sediment of the meromictic Lake Pavin, France.",sediment_fresh
"Sediment samples collected from Tuosu lake, Qaidam Basin.",sediment_fresh_alkaline
"Sample of sediment of the subsurface lake from Movile Cave, near the city of Mangalia, Romania.",sediment_fresh
"Sample from a rice field soil in the Philippines (Pila area, Luzon Province).",soil_agricultural
"Sample isolated from marshland of the Sippenauer Moor, Germany (48°53' N 11°57' E).",soil_marshland
Sample from sludge deposited in a crude oil storage tank in Japan.,petroleum
"Sample of granitic rock groundwater from the Äspö hard rock laboratory tunnel, South-Eastern Sweden (depths 68 m, 409 m and 420 m).",water_groundwater_deepsubsurface
Sample of cattle pasture mud.,soil_agricultural
Sample of a marshy soil.,soil_marshland
"Samples selected from deep (28 m beneath surface) late Pliocene permafrost 26 (Kolyma lowland, 70°06’N, 154° 04’E).",soil_organic_permafrost
Laboratory anaerobic reactor treating distilary wastewater seeded with sludge from filed digester.,bioreactor/digester
"Samples of a wetwood cores from Wisconsin, and western cottonwood trees located on the banks of Cottonwood Creek in Grand Teton National Park in Wyoming.",host_plant_vasculature
"Sample from rumen of the Korean native cattle (HanWoo,  Bos taurus coreanae) in South Korea.",host_animal_endotherm_rumen
Hindgut contents of the termite Reticulitermes flavipes.,host_animal_ectotherm
Hindgut contents of the termite Reticulitermes flavipes (Kollar) (Rhinotermitidae).,host_animal_ectotherm
Hindgut contents of the termite Reticulitermes flavipes.,host_animal_ectotherm
Sample of horse feaces.,host_animal_endotherm_feces
Sample of bowine rumen contents.,host_animal_endotherm_rumen
Sample of sheep rumen contents.,host_animal_endotherm_rumen
Subgingival samples from ten healthy volontiers (Italy).,host_animal_endotherm_oral
Sample from bovine rumen.,host_animal_endotherm_rumen
Sample of primary sewage digester (USA).,bioreactor/digester
Sample of cow feaces.,host_animal_endotherm_feces
Sample of goose feaces.,host_animal_endotherm_feces
Sample of sheep feaces.,host_animal_endotherm_feces
"Samples from an estuary in Eriln Shi, near Wang-gong, Taiwan.",sediment_marine
Sample collected from the well-head of the Scheibenhardt NDL 103 oilfield in Alsace (France).,petroleum
"Samples taken from bottom sediments of Tanatar soda lakes (Altai, Russia) and from the collectors in the vicinity of these lakes.",sediment_fresh_alkaline
"Leachate samples taken from pipes (25 cm in diameter), used for monitoring sinkage and water quality, at the Osaka North Port Sea-Based Solid-Waste-Disposal Site in Japan.",unclassified
"Samples from water of an estuary in Eriln Shi near Wong-Kong, Taiwan.",sediment_marine
"Samples from deep-sea hydrothermal vent core sample from Guaymas Basin, Gulf of California, at a depth of 2003 m.",sediment_marine_hydrothermal
"Chimney sample collected in April 2001 at the Kairei vent field on the Central Indian Ridge (25°19' S, 70°02' E) at a depth of 2420 m.",sediment_marine_hydrothermal
"Chimney sample collected from the Logatchev hydrothermal field (14° 45' N, 44° 59' W) on the Mid-Atlantic Ridge at a depth of 3000 m.",sediment_marine_hydrothermal
"Hydrothermal vent effluent waters and sedimentary material adjacent to vents were collected in April and May, 1982 from the East Pacific Rise at 20° 50' N latitude and 109° 06' W longitude at a depth of 2600 m.",sediment_marine_hydrothermal
"Samples from the Kolbeinsey Ridge (Fricke et al., 1989), north of Iceland (67° 05' N,  18° 42' W), by the research submersible Jago at a depth of 105 m.",sediment_marine_hydrothermal
"Samples from chimney from the hydrothermal field (12°48' N, 103°56' W), on the East Pacific Rise at a depth of 2600 m.",sediment_marine_hydrothermal
Sample from a rice field soil in Italy.,soil_agricultural
Chinese rice field soil.,soil_agricultural
"Sample isolated from a rice paddy soil at Nagaoka, Niigata, Japan.",soil_agricultural
"Sample from permanently cold, anoxic marine sediments at Skan Bay, Alaska.",sediment_marine_cold
"Sample from the anoxic hypolimnion of Ace Lake, Antarctica.",water_groundwater_surface
"Sediment (0 to 60 cm) obtained by a diver assisted with SCUBA at a depth of 65 feet (ca. 19.8 m) from the Sumner branch of Scripps Canyon located near La Jolla, California.",sediment_marine
Samples from deep sediment covered by an orange microbial mat collected from the Napoli Mud Volcano.,biofilm_marine
Sample of sediment taken from the Nankai Trough near the coast of Japan.,sediment_marine
"Grab samples of sediment (top 10 cm) from the tall Spartina alterniflora region of Pawley's Island salt marsh, South Carolina.",sediment_brackish
Sample of a black mud from the east shore of San Francisco Bay.,sediment_brackish
A sediment sample obtained near the mouth of the Waccasassa estuary in western Florida.,sediment_brackish
"Sample from a sewage sludge digestor at Bourg en Bresse, France.",sludge
Sample of anaerobic sediment of a wastewater treatment pond of the sugar factory in Regensburg (FRG).,wastewater
"Sample collected from an active, gas-producing area of Tar Pit Lake at the LaBrea Tar Pits in Los Angeles, California.",petroleum
"Sample from an anaerobic sour whey digester, originally inoculated with sewage sludge.",bioreactor/digester
"Sample of the effluent of a fixed-bed pilot fermentation plant for anaerobic treatment of distillery wastes, operated at the Biogas Research and Training Centre of Asia and the Pacific in Chengdu, Sichuan, China.",bioreactor/digester
"Samples from a digestor fermenting tannery by-products which was originally inoculated with digested sewage sludge from Bourg, or Bourg-en- Bresse, France.",bioreactor/digester
"Paddy field plot (Gray Lowland Soil) with long- term application of rice straw compost at the Kyushu National Agricultural Experiment Station, Chikugo, Fukuoka, Japan.",soil_agricultural
"The groundwater sample collected from the Wakkanai formation, a Miocene diatomaceous shale in northernmost Japan.",water_groundwater
"Sample from the Zoige wetland, China.",sediment_brackish
"Sediment collected at station 1355 on R. V, Chain cruise 120/1 in the Black Sea.",sediment_marine
"Sample from a biogas reactor of a palm oil plant on North-Sumatra (Indonesia), which was operated at 55 °C.",bioreactor/digester
Sample of oil production water from Block L801 of Shengli oil field in China.,petroleum
It was isolated from sediments collected by Ocean Researcher I cruise ORI-934 in 2010 near the submarine mud volcano MV4 located at the upper slope of south-west Taiwan.,sediment_marine
"Sample from a core (BH-1) from a depth of 247 m below the sediment surface, Nankai Trough (water depth 950 m).",sediment_marine_deepsubsurface
"Sediment underlying the high-temperature effluent channel of the Crystal River Nuclear Power Plant, Florida Power Company, Crystal River, Florida.",sediment_fresh
"Water sample from marine aquaculture fish pond near Wong-gong, Taiwan.",sediment_marine
"Sample from lotus field mud at Nagaoka, Niigata, Japan.",soil_agricultural
"Sample from a marine water aquaculture fish pond near Wang-gong, Taiwan.",sediment_marine
"Sample of anaerobically treated waste water, obtained from a Biohochreaktor of Hoechst company (Kelsterbach, Frankfurt/ Main, FRG).",wastewater
Mud samples from a small (Atacama desert in Northern Chile close to the oasis of San Petro di Atacama on Mount Tatio at an altitude of 4750 m).,unclassified
"Sample of sediments of Skan Bay (depth 65 m), Alaska (53°N, 167°W).",sediment_marine
Sediment collected at station 2030 on R. V. Atlantis II cruise 79 in the Cariaco Trench.,sediment_marine_deep
"Sample of sediment from Ace Lake (68°24' S, 78°11' E)  in the Vestfold Hills of Antarctica.",sediment_fresh_cold
"Sample of sediments of Skan Bay, Alaska (53°N, 167°W).",sediment_marine
Sediment sample from a deep sea hydrothermal area (-2003 Im) at Guaymas Basin (Baja California).,sediment_marine_hydrothermal
Sample of sediments of saline lagoons in Sivash.,sediment_hypersaline
"Mineralized stratal waters of oil deposits (Tataria, Russia).",petroleum
Sample from marine cyanobacterial mat.,biofilm_marine
"Sample from natural gas-bearing confined aquifers recharged by paleo-seawater in the Minami-Kanto gas field, Japan.",petroleum
Sample from the sediments of Great Salt Lake in Utah (thermal lake).,sediment_hypersaline
"Sample of sediments from a salinarium in Figiera da Foz, Portugal.",sediment_hypersaline
"Sediments cores taken along the edges of the mosquito control canals within mangrove swamps located southeast of Georgetown, Grand Cayman, British West Indies.",sediment_marine
"Sample from rice field soil in Tainan, Taiwan.",soil_agricultural
"Sample from a mesophilic, methanogenic sludge digesting sewage sludge.",sludge
"Sample isolated from Arabian Sea sediments obtained near Bombay, India.",sediment_marine
"Sample from a slurry of subsurface solids from a saline, alkaline aquifer (West Alkali Lake, south central Oregon).",sediment_hypersaline
"Sample from deep subsurface sediments from a natural gas field filled with ancient seawater (Mobara, Japan).",petroleum
no data,unclassified
Smple of estuarine sediments from San Francisco Bay.,sediment_marine
"A marine, mesophilic.",unclassified
"Sample of sea sediments near Vulcano Island, Italy.",sediment_marine
"Water sample from coal seam near Monroe, Los Angeles, USA.",petroleum
"Sample of human faeces collected in Marseille, France.",host_animal_endotherm_feces
"Sample of eutrophic pond sediment (Campus of Dek- kerswald Institute, Nijmegen, The Netherlands).",sediment_fresh
Sample of a sludge from thermophilic laboratory-scale upflow anaerobic sludge blanket reactor fed with methanol.,sludge
Sample of sediments from Upo wetland sediment in the Republic of Korea.,soil_marshland
Sample of bovine rumen fluid.,host_animal_endotherm_rumen
"Sample isolated from Periplaneta americana var. Amsterdam, which was caught in Artis Zoo (Amsterdam, The Netherlands).",host_animal_ectotherm
Endosymbionts in the marine ciliate Metopus contortus Quennerstedt.,host_animal_ectotherm
Sample of swamp drilling waste in Italy.,soil_marshland
"Sample collected from the well-head of an offshore oil field of the Gult of Guinea, West Africa.",petroleum
"Samples from a hydrothermally heated deep sea sediment (Guaymas Basin, Gulf of California) and from a shallow marine hydrothermal system (Kolbeinsey ridge, Iceland).",sediment_marine_hydrothermal
"Sample from McLean bog, an acidic (pH 4.0–4.5) and ombrotrophic (rain-fed) site near Ithaca, NY, USA (42° 30' N, 76° 30' W).",soil_organic_peaty
"Sample from a mesophilic, granular sludge in a UASB reactor used to treat a beer brewery effluent (Japan).",sludge
Sample from pear waste fermentor inoculated with anaerobic sludge from the Regional Municipality of Ottawa-Carleton sewage treatment facility.,sludge
"Samples from mesophilic UASB anaerobic digester treating beer-manufacture wastewater (Beijing, China).",wastewater
"Sample from a tidal flat sediment in Tokyo Bay, Chiba Prefecture, Japan.",sediment_marine
Sample from a thermophilic anaerobic digestor.,bioreactor/digester
"Sample from alkaline, saline sediments from Bosa Lake in the Wadi el Natrun, Egyp.",sediment_fresh_alkaline
"Sample of marine sediments from the Sumner branch of Scripps Canyon located near La Jolla, California.",sediment_marine
Sample from the anoxic surface layer of the sediment at a depth of 241 m in the Gotland Deep of the Baltic Sea.,sediment_marine_deep
Sample from anaerobic sewage digester.,bioreactor/digester
Sample of a groundwater from the Wakkanai Formation.,water_groundwater
Sample from from anoxic lake sediments (Switzerland).,sediment_fresh
Sample from sewage sludge plant.,sludge
"Sample of  sediments obtained from the mangrove forest at Monti creek, Dar es Salaam, Tanzania (Indian Ocean).",sediment_marine
Sample of water collected from an offshore production platform receiving liquid and gas from oil well HI350 at High Island in the Gulf of Mexico.,petroleum
"Samples of a permafrost-affected soil on Samoylov Island, Lena Delta, Siberia.",soil_organic_permafrost
"Microorganism was isolated from a floating biofilm on a sulphurous subsurface lake in Movile Cave (Mangalia, Romania)",biofilm_fresh
"Sample from labortory anaerobic sludge digestor (55°C) inoculated with sludge from thermophilic digestor operated at Hyperion sewage treatment plant, El Segundo, California.",bioreactor/digester
Sludge sample from mesophilic anaerobic digestor in Moscow.,bioreactor/digester
"Samples from rabbit caeca, colons, or rectums, animals were hybrids of a New Zealand White female rabbit and a California male rabbit.",host_animal_endotherm_feces
Sample of human feces.,host_animal_endotherm_feces
"Sample from minerotrophic fen peatland, Michigan Hollow (New York State (42°21' N, 76°28' W)).",soil_organic_peaty
Sample of sewage sludge.,sludge
"Soil sample collected from a puddle at Kisarazu, Chiba, Japan.",water_groundwater_surface
"Soil from Madoi wetland at Qinghai-Tibetan plateau, China.",soil_marshland
