Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
soil	2011	10.1099/ijs.0.021543-0	DQ916067	65.7	aerobic	1.15	0.75	flagella	no	"nitrate reduction to nitrite, oxidase positive, urease positive"	Hansschlegelia	zhihuaiae	S113T	7	6.5-7.5	27.5	25-30	0.25	<0.5		cocci	not indicated	1114	DSM18984T|CCTCCAB206143T|KCTC12880TA	"adonitol, arabinose, glucosamine, pyruvic acid (pyruvate), sucrose"		negative		No
seawater	2007	10.1099/ijs.0.65032-0	DQ916141	58.4	facultative aerobe	1.45	0.95	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Ruegeria	pelagia	HTCC2662T	5.5	04-Dec	33.5	16-42	3.5	0-10	yes	rod	not indicated	1815	KCCM42378T|NBRC102038T	"2-aminethanol, 2,3-butanediol, acetate, adonitol, alanine, alaninamide, alanine, alpha-cyclodextrin, alpha-ketovaleric acid, arabinose, arabitol, asparagine, aspartic acid (aspartate), carnitine, cellobiose, citric acide (citrate), dextrin, formic acid, fructose, galactose, galcturonic acid, gamma-aminobutyric acid, glucose, glutamic acid, glycerol, glycogen, histidine, hyroxl-proline, inosine, lactate, lactose, leucine, maltose, mannitol, melibiose, myo-inositol, N-acetylgulcosamine, ornithine, phenylalanine, proline, propionic acid (propionate), putrescine, pyruvic acid methyl ester, serine, sorbitol, succinic acid (succinate), sucrose, threonine, thymidine, trehalose, Tween 40, Tween 80, uridine, urocanic acid, xylitol"		negative		Yes
estuarine water	2007	10.1099/ijs.0.64892-0	DQ917760	60.7	facultative anaerobe	1.6	0.65	flagella		"acid phosphatase, alkaline phosphatase, urease positive"	Marinobacterium	litorale	IMCC1877T	9	5.0-12	30	8.0-42	3.25	1.0-7.5		rod		1659	KCTC12756T|LMG23872T	"acetate, alanine, alaninamide, alanine, citric acide (citrate), formic acid, galcturonic acid, glutamic acid, glycogen, lactate, malonic acid (malonate), ornithine, proline, propionic acid (propionate), putrescine, pyruvic acid methyl ester, quinic acid, serine, succinic acid (succinate), Tween 80"		negative		Yes
other	2007	10.1099/ijs.0.64789-0	DQ922914	46.5	facultative anaerobe	1.6	0.75	non-motile	no	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Vibrio	comitans	GHG2-1T			17	Apr-30	3.5	01-Jun	no	rod	not indicated	916	LMG23416T/NBRC102076T	"cellobiose, fructose, galactose, gluconic acid, glucosamine, glucose, glutamic acid, maltose, mannitol, N-acetylgulcosamine, pyruvic acid (pyruvate), succinic acid (succinate), xylose"			Abalone Gut	No
other	2007	10.1099/ijs.0.64789-0	DQ922920	43.4	facultative anaerobe	1.5	0.75	non-motile	no	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Vibrio	inusitatus	RW14T			17	Apr-30	3.5	01-Jun	no	rod	not indicated	916	LMG23434T/NBRC102082T	"acetate, cellobiose, fructose, glucose, glutamic acid, maltose, mannitol, mannose, N-acetylgulcosamine, succinic acid (succinate), xylose"		negative	Abalone Gut	No
hypersaline environment	2009	10.1099/ijs.0.65705-0	DQ923129	66.3	aerobic			non-motile	yes	"gelatinase, nitrate reduction to nitrite"	Saccharopolyspora 	halophila	YIM90500T	7.5	07-Aug	32.5	28-37	12.5	Oct-15				555	DSM45007T|KCTC19162T	"alanine, alanine, arabinose, asparagine, cellobiose, fructose, galactose, glucose, glycine, histidine, lactose, maltose, mannitol, mannose, myo-inositol, raffinose, rhamnose, sucrose, threonine, urea, xylitol, xylose"		positive		No
other	2008	10.1099/ijs.0.65531-0	DQ923130	68	aerobic	1-1.2	0.4-0.6	non-motile	yes		Haloactinospora	alba	YIM 90648	07-Aug	06-Sep	37	20-45	15	Sep-21	yes	rod	chain	2075	DSM45015|CCTCCAA206008	"arabinose, arabitol, cellobiose, fructose, galactose, glucose, raffinose, ribose, sucrose"		positive	salt lake	No
soil	2009	10.1099/ijs.0.005918-0	DQ923133	60.3	aerobic	4	1.8	non-motile	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, oxidase positive, urease positive"	Paracoccus	saliphilus	YIM 90738T	7	6.0-8.0	37	Oct-55	8	1.0-15	yes	cocci		1924	5CCTCCAB206074T|KCTC22163T	"acetate, adonitol, alanine, alaninamide, alanine, alpha-cyclodextrin, arabinose, arabitol, asparagine, aspartic acid (aspartate), carnitine, citric acide (citrate), formic acid, fructose, fucose, galactose, galcturonic acid, gluconic acid, glucose, glutamic acid, glycerol, glycogen, histidine, hyroxl-proline, inosine, lactate, lactose, leucine, mannose, melibiose, methyl pyruvate, ornithine, phenethylamine, proline, putrescine, quinic acid, serine, sorbitol, succinic acid (succinate), sucrose, threonine, thymidine, uridine, urocanic acid, xylitol"		negative		Yes
other	2007	10.1099/ijs.0.64819-0	DQ925472	34	anaerobic	0.8	0.64	non-motile	no	urease positive	Howardella	ureilytica	589T			37					cocci	chain	2940	DSM15118T|JCM13267T	"acetate, urea"		positive	Rumen fluid	No
other	2007	10.1099/ijs.0.64965-0	DQ974114	67.9	aerobic	1.85	0.5	flagella	no	"catalase positive, oxidase positive"	Azospira	restricta	SUA2T	7		37	20-40	1	0.0-2.0		rod		1521	NRRLB-41660T|DSM18626T|LMG23819T	putrescine		negative	groundwater	Yes
soil	2009	10.1099/ijs.0.006627-0	DQ979377	68	aerobic	0.8	0.8	non-motile	no	"aesculin hydrolysis, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, pyrazinamidase"	Kocuria	halotolerans	YIM90716T	7.5	6.0-9.0	32.5	Oct-37	5	0-10	no	cocci	not indicated	1316	DSM18442T|KCTC19172T|CCTCCAB206069	"adonitol, arabinose, arabitol, fructose, galactose, glucose, glycerol, leucine, maltose, mannitol, mannose, ribose, salicin, sorbitol, sucrose"		positive		No
other	2007	10.1099/ijs.0.64779-0	DQ981486	64.9	anaerobic	1.35	0.65	flagella	not indicated	"alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive"	Phaeobacter	daeponensis	TF-218T	07-Aug	5.5-8	37	Apr-42	2	01-Aug	no	ovoid/coccobacillus	not indicated	856	KCTC12794T|JCM13606T	"acetate, citric acide (citrate), leucine, malate, pyruvic acid (pyruvate), ribose, serine, succinic acid (succinate)"		negative	tidal flat	No
soil	2007	10.1099/ijs.0.64864-0	DQ985164	66.5	aerobic			not indicated	yes	"aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite, urease positive"	Actinomadura 	alba	YIM 45681T	7.5		28				no	not indicated	chain	1735	DSM45045T|CCTCCAA206005T	"adonitol, arabitol, fructose, gelatin, lactose, ribose, sucrose, trehalose, xylose"		positive		No
other	2009	10.1099/ijs.0.002147-0	DQ985165	69.4				non-motile	not indicated	"aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite"	Stackebrandtia	albiflava	YIM45751T	7		32.5	28-37						574	DSM45044T|CCTCCAA206003T	"adonitol, arabinose, cellobiose, citric acide (citrate), dextrin, fructose, galactose, gelatin, glucose, lactose, mannitol, mannose, melibiose, propionic acid (propionate), raffinose, rhamnose, ribose, sorbitol, sucrose, Tween 20, Tween 60, Tween 80, urea, xylose"		positive	tropic rainforest	No
hotspring	2008	10.1099/ijs.0.64842-0	DQ989208	29.3	microerophile	1.3	0.37	"motile, but unspecified structure"	no		Venenvibrio	stagnispumantis	CP.B2	5.4	4.8-5.8	70	45-75	0.4	0-0.8	NA	rod	not indicated	398	JCM=14244|DSM=18763			negative		No
soil	2008	10.1099/ijs.0.65467-0	DQ989633	45.8	NA		0.77	non-motile	no	"aesculin hydrolysis, catalase positive, gelatinase, H2S production, nitrate reduction to nitrite, oxidase positive, urease positive"	Salinicoccus	halodurans	W24	7.5	5.5-9	28	Aug-43	8	0-24	yes	cocci	clump	1537	CGMCC=1.6501|DSM=19336	"cellobiose, fructose, glucose, lactose, maltose, mannitol, mannose, rhamnose, sorbitol, sucrose, trehalose"		positive		No
hypersaline environment	2009	10.1099/ijs.0.004234-0	DQ989634	44.9	aerobic	3	0.5	flagella	yes	"aesculin hydrolysis, catalase positive, gelatinase, H2S production, indole production, oxidase positive"	Sediminibacillus	albus	NHBX5T 	7.5	5.5-9.0	37	Oct-45	7	0-22		rod	chain	1640	DSM19340T|CGMCC1.6502T	"arabinose, cellobiose, citric acide (citrate), fructose, galactose, gelatin, glucosamine, glucose, glycerol, lactose, maltose, mannitol, mannose, melibiose, N-acetylgulcosamine, rhamnose, salicin, trehalose, Tween 80"		positive		No
"freshwater sediment (river, lake, pond"	2007	10.1099/ijs.0.64980-0	DQ991964	53-55.2	anaerobic	2	0.5	"motile, but unspecified structure"	not indicated		Pelobacter	seleniigenes	KMT 					1.8	0.1-3.5	yes	rod	not indicated	1937	DSM18267T|ATCCBAA-1388T	"acetate, citric acide (citrate), lactate, pyruvic acid (pyruvate)"		negative		No
estuarine water	2011	10.1099/ijs.0.022392-0	DQ991965	56.1	anaerobic	4.5	0.13	"motile, but unspecified structure"	not indicated	nitrate reduction to nitrite	Desulfurispirillum	indicum	S5T 	7.4	6.8-7.6	28	Apr-37	0.4	0.1-0.75	NA	spirillum/corkscrew		654	DSM22839T|ATCCBAA-1389T			negative		No
other	2013	10.1099/ijs.0.042606-0	DQ993341	57.9	aerobic	5	0.35	non-motile	no	"acid phosphatase, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive"	Microbulbifer	pacificus	SPO729	7.25	06-Oct	35	15-45	2.5	01-Jul	yes	rod	clump	1335	ду_KCCM42667|JCM14507	"fructose, glucose, maltose, sorbitol"		negative	marine sponge	Yes
soil	2008	10.1099/ijs.0.65480-0	DQ994689	Not given	NA			not indicated	yes		Streptacidiphilus	melanogenes	SB-B34		03-Aug		28-35			no	not indicated	not indicated	1566	NBRC=103184|KCTC=19280	"arginine, gluconic acid, glycerol, melibiose, myo-inositol, sorbitol, sucrose, xylose"		NA		No
soil	2008	10.1099/ijs.0.65673-0	DQ997045	64.9	aerobic			non-motile	no	"aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite, urease positive"	Rhodococcus	kunmingensis	YIM 45607		7-7.5		Oct-37		Up to 7%	yes	cocci	not indicated	1467	KCTC=19149|DSM=45001	"arabinose, fructose, glucose, lactose, mannose, melibiose, raffinose, trehalose, xylitol, xylose"		positive		No
other	2004	10.1099/ijs.0.02722-0	E16651	44.8	facultative anaerobe			non-motile	no		Lactobacillus	paracollinoides	LA2T	4.2		25				no	rod	chain	115	DSM15502T|JCM11969T	"glucose, maltose, melibiose, ribose, xylose"		positive	Brewery environment 	No
estuarine sediment	2009	10.1099/ijs.0.000497-0	EF012099	71.6	aerobic			non-motile	yes	"gelatinase, nitrate reduction to nitrite"	Streptomyces	xiamenensis	MCCC1A01550T			32.5	28-37	2.5	0-5		not indicated		472	DSM41903T|CGMCC4.3534T	"arabinose, mannitol, mannose, rhamnose, ribose, sucrose"		positive		No
other	2008	10.1099/ijs.0.64959-0	EF014450	37	aerobic	2.25	0.6	not indicated	yes		Bacillus	coahuilensis	m4-4	7.5	05-Sep	33.5	30-45			NA	rod	not indicated	919	NRRL=B-41737|CECT=7197	"citric acide (citrate), glycerol"		positive	Lagoon	No
seawater	2007	10.1099/ijs.0.64877-0	EF015478		aerobic	4.0-8.0	1.0-1.5	"motile, but unspecified structure"	not indicated	"catalase positive, nitrate reduction to nitrite, urease positive"	Methylobacterium	salsuginis	MRT	7	5.0-8.0	30	Apr-40		<1.5	yes	rod	clump	1699	CGMCC1.6474T|NCCB100140T	"ethanol, formic acid, fructose, glucose"		negative		No
other	2008	10.1099/ijs.0.65277-0	EF015884	62.8	aerobic	1.5	0.5	"motile, but unspecified structure"	no	"acid phosphatase, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive"	Comamonas	composti	YY287	7	06-Aug	30	25-35	0.5	0-1	no	rod	not indicated	251	BCRC=17659|LMG=24008	"adipate, gluconic acid, malate"		negative	Compost	Yes
other	2010	10.1099/ijs.0.011205-0	EF016285	33.8	anaerobic	02/08/14	0.40-0.45	non-motile	no	methane production	Methanobacterium 	Methanobacterium veterum	MK4	7.2-7.4	5.2-9.4	28	Oct-46		0-0.3	NA	rod	not indicated	455	DSM19849|VKMB-2440	acetate		negative	ancient Siberian permafrost	No
other	2010	10.1099/ijs.0.011205-0	EF016285	33.8	anaerobic	5	0.425	non-motile	no		Methanobacterium	veterum	MK4	7.3	5.2-9.4	28	Oct-46		0-0.3	NA	rod	not indicated	455	DSM=19849|VKM=B-2440	acetate		negative	Ancient permafrost	No
"freshwater (river, lake, pond)"	2007	10.1099/ijs.0.64902-0	EF017660	44	aerobic			non-motile	not indicated	"catalase positive, oxidase positive"	Dyadobacter	koreensis	WPCB159T	7	05-Nov	25	Apr-30			yes	rod	not indicated	2007	KCTC12537T|NBRC101116T	"arabinose, fructose, galactose, glucose, mannose, melibiose, salicin, xylose"		negative		No
wastewater	2008	10.1099/ijs.0.65182-0	EF026082	33	anaerobic	5.5	0.5	flagella	yes		Clostridiisalibacter	paucivorans	37HS60	6.8	5.5-8.5	42	20-50	50g/L	10-100g/L	NA	rod	none	61	JCM=14354|CCUG=53849	"pyruvic acid (pyruvate), succinic acid (succinate)"		positive		No
seawater	2007	10.1099/ijs.0.64862-0	EF028328	55.9	facultative anaerobe	3	1	flagella	no	"acid phosphatase, alkaline phosphatase, catalase positive, gelatinase, nitrate reduction to nitrite, oxidase positive"	Marinobacter 	salsuginis	SD-14BT	7.75	6.5-9.5	36	Oct-45	5	Jan-20	no	rod	not indicated	1040	DSM18347T/LMG23697T	"5-ketoguconate, acetate, alanine, alanine, fructose, gelatin, glucose, glutamic acid, glycerol, lactate, malate, N-acetylgulcosamine, phenylalanine, proline, pyruvic acid (pyruvate), succinic acid (succinate), Tween 20, Tween 40, Tween 80"		negative		No
plant associated	2007	10.1099/ijs.0.64840-0	EF030713	57.3	aerobic	2	0.8	"motile, but unspecified structure"		catalase positive	Acetobacter	ghanensis	R-29337T								rod		1647	430AT|LMG23848T|DSM18895T	glycerol		negative		No
other	2008	10.1099/ijs.0.64971-0	EF030715	72.6	aerobic			not indicated	yes	"acid phosphatase, alkaline phosphatase, catalase positive"	Saccharopolyspora	cebuensis	SPE 10-1				15-37		2.5-12.5	yes	not indicated	not indicated	628	DSM=45019|CIP=109355	"adonitol, arabinose, arabitol, cellobiose, fructose, fucose, galactose, glucose, glycerol, glycogen, lactose, maltose, mannose, N-acetylgulcosamine, raffinose, rhamnose, ribose, sucrose, trehalose, xylose"		positive	Isolated from sea sponge	No
soil	2008	10.1099/ijs.0.2008/000125-0	EF035058	57.85	aerobic	01-Mar	0.3-0.6	not indicated	no	catalase positive	Mesorhizobium	tarimense	CCBAU 83306	06-Aug	05-Aug	25-30	25-30	0	0	yes	rod	chain	2610	LMG24338|HAMBI2973	"arabinose, arginine, aspartic acid (aspartate), dextrin, fructose, galactose, glucose, lactose, maltose, mannose, proline, rhamnose, sucrose, trehalose, xylose"		negative		No
soil	2008	10.1099/ijs.0.2008/000125-0	EF035064	57.86	aerobic	01-Mar	0.3-0.6	not indicated	no	"catalase positive, oxidase positive"	Mesorhizobium	gobiense	CCBAU 83330	06-Aug	05-Sep	25-30	25-37	1	1	yes	rod	chain	2610	LMG23949|HAMBI2974	"arabinose, arginine, aspartic acid (aspartate), fructose, galactose, glucose, lactose, malate, maltose, mannose, proline, rhamnose, sucrose, trehalose, xylose"		negative		No
other	2008	10.1099/ijs.0.65568-0	EF035074	65.3-66	aerobic	01-Mar	0.3-0.5	"motile, but unspecified structure"	no	"catalase positive, oxidase positive, urease positive"	Rhizobium	multihospitium	CCBAU 83401	7	05-Oct	28	Dec-37	0	0	yes	rod	chain	1693	LMG23946|HAMBI2975	"arabinose, arginine, aspartic acid (aspartate), fructose, galactose, glucose, lactose, maltose, mannose, proline, raffinose, rhamnose, salicin, succinic acid (succinate), sucrose, trehalose, xylose"		negative	legume	No
"freshwater (river, lake, pond)"	2008	10.1099/ijs.0.65398-0	EF055454	65.4	aerobic		0.9	non-motile	not indicated	"catalase positive, indole production, nitrate reduction to nitrite, oxidase positive"	Halosarcina	pallida	BZ256	6.5	5-8.5	30	25-45	17.98	9.86-24.94	yes	cocci	clump	856	KCTC=4017|JCM=14848	"acetate, aspartic acid (aspartate), fructose, galactose, glucose, glutamic acid, glycerol, glycine, histidine, lactate, lactose, malate, phenylalanine, pyruvic acid (pyruvate), salicin, sorbitol, succinic acid (succinate), sucrose, trehalose"		negative		No
NA	2008	10.1099/ijs.0.65577-0	EF059845	Not given	aerobic	3	1	flagella	not indicated	"aesculin hydrolysis, catalase positive, indole production, nitrate reduction to nitrite"	Cronobacter	muytjensii	ATCC 51329		05-Oct		Jun-45		Up to 7%	NA	rod	not indicated	1442	CIP=103584	"malonic acid (malonate), myo-inositol, putrescine"		negative		Yes
other	2012	10.1099/ijs.0.032292-0	EF059877		NA	Not indicated	Not indicated	non-motile	no	"catalase positive, nitrate reduction to nitrite"	Cronobacter	universalis	NCTC 9529	Not indicated	Not indicated	37	Not indicated	Not indicated	Not indicated	yes	rod	not indicated	1277	CECT=7864|LMG=26249	"citric acide (citrate), malonic acid (malonate), ornithine"		negative	Isolated from leg infection	No
other	2008	10.1099/ijs.0.65577-0	EF059881	Not given	facultative anaerobe	3	1	flagella	not indicated	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite"	Cronobacter	malonaticus	CDC 1058-77		05-Oct		Jun-45		Up to 7%	NA	rod	not indicated	1442	LMG=23826|DSM=18702	"malonic acid (malonate), putrescine"		negative	Breast abscess	Yes
other	2008	10.1099/ijs.0.65577-0	EF059891	Not given	facultative anaerobe	3	1	flagella	not indicated	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite"	Cronobacter	turicensis	z3032		05-Oct		Jun-45		Up to 7%	NA	rod	not indicated	1442	LMG=23827|DSM=18703	"malonic acid (malonate), myo-inositol, putrescine"		negative	Human - blood	Yes
food product	2008	10.1099/ijs.0.65577-0	EF059892	Not given	facultative anaerobe	3	1	flagella	not indicated	"aesculin hydrolysis, catalase positive, indole production, nitrate reduction to nitrite"	Cronobacter	dublinensis	DES187		05-Oct		Jun-45		Up to 7%	NA	rod	not indicated	1442	LMG=23823|DSM=18705	"malonic acid (malonate), myo-inositol, putrescine"		negative		Yes
plant associated	2008	10.1099/ijs.0.65661-0	EF061096	58.4	aerobic	2.5	0.7	not indicated	no		Rhizobium	miluonense	CCBAU 41251	7	06-Aug	27.5	25-37			NA	rod	not indicated	1364	LMG=24208|HAMBI=2971	"arabinose, arginine, aspartic acid (aspartate), fructose, galactose, glucose, lactose, maltose, mannose, proline, raffinose, rhamnose, salicin, sucrose, trehalose, xylose"		negative		No
food product	2009	10.1099/ijs.0.002287-0	EF061284		anaerobic	10.5	0.25	flagella	not indicated		Treponema	pedis	T3552BT							no	not indicated	clump	987	DSM18691T|NCTC13403T	glycerol		negative		No
soil	2013	10.1099/ijs.0.038554-0	EF067860	47.5	facultative anaerobe	3	0.8	gliding	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase"	Sediminibacterium	ginsengisoli	DCY13	5.75	4.5-10	30	15-40	1	0-2	yes	rod	none	905	KCTC12833|JCM15794|DSM22335	"glucose, maltose, melibiose, proline, salicin, sucrose"		negative		Yes
soil	2007	10.1099/ijs.0.64938-0	EF067861	40.53	aerobic	0.4	0.3	non-motile	not indicated	"acid phosphatase, alkaline phosphatase, catalase positive, urease positive"	Solimonas	soli	DCY12T	7	07-Sep	30	25-37			no	rod		2591	KCTC12834T/LMG24014T	"3-hydroxybutyrate, acetate, adipate, arabinose, fucose, gluconic acid, glucose, histidine, proline, propionic acid (propionate), serine, sorbitol, urea, valerate"		negative		No
plant associated	2008	10.1099/ijs.0.65723-0	EF070131	63.1	aerobic	1.7	0.6	"motile, but unspecified structure"	no	"catalase positive, oxidase positive"	Shinella	kummerowiae	CCBAU 25048	7.5	05-Nov	27.5	25-30		3	NA	rod	not indicated	1409	JCM=14778|LMG=24136	"citric acide (citrate), gluconic acid, malate, xylose"		negative		No
other	2008	10.1099/ijs.0.65152-0	EF070342		microerophile	10	1	flagella	no	"alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive, urease positive"	Helicobacter	baculiformis	M50				37			NA	spirillum/corkscrew	not indicated	357	LMG=23839|CCUG=53816			negative	Gastric mucosa of a cat	No
seawater	2007	10.1099/ijs.0.64898-0	EF076757	50.1	aerobic	2.65	0.5	flagella	no	"aesculin hydrolysis, nitrate reduction to nitrite, urease positive"	Rheinheimera	aquimaris	SW-353T	7.5	5.5-8.0	33.5	4.0-43	2	0.0-8.0		rod		1386	KCTC12840T|JCM14331T	"acetate, glucose, glycogen, maltose, mannose, N-acetylgulcosamine, pyruvic acid (pyruvate), succinic acid (succinate), trehalose, tryptophan, Tween 20, Tween 40, Tween 60, xylose"		negative		No
soil	2007	10.1099/ijs.0.64889-0	EF076760	72.9	aerobic	1.2	0.6	non-motile	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, urease positive"	Cellulosimicrobium	terreum	DS-61T	7	06-Sep	25	Apr-34	1	0-9	yes	cocci	not indicated	2493	KCTC19206T/DSM18665T	"acetate, arabinose, cellobiose, fructose, galactose, glucose, glutamic acid, maltose, mannose, pyruvic acid (pyruvate), salicin, sucrose, trehalose, Tween 20, Tween 40, Tween 60, Tween 80, urea, xylose"		positive		No
hotspring	2008	10.1099/ijs.0.65339-0	EF081293 	46.8	anaerobic	02-May	0.5	flagella	no		Desulfotomaculum 	hydrothermale	Lam5	7.1	5.8-8.2	55	40-60	0	0-1.5	yes	rod	chain	2529	DSM18033|JCM13992	"acetate, formic acid"		negative		No
soil	2008	10.1099/ijs.0.65014-0	EF095149		aerobic	0.7-1.5		non-motile	yes	aesculin hydrolysis	Nocardiopsis	arabia	S186	7	7	28	Oct-40	5	0-15	yes	rod	chain	2520	CGMCC4.2057|DSM45083	"arabinose, salicin, trehalose"		positive		No
wastewater	2007	10.1099/ijs.0.64901-0	EF100696	67.4	aerobic	0.7-2.5	0.3-0.6	non-motile	no		Pigmentiphaga	 daeguensis	K110T	07-Aug	05-Sep	30.5	15-46	0.5	0-5	yes	rod	not indicated	1188	KCTC12838T|JCM14330T	malate		negative		No
soil	2007	10.1099/ijs.0.64986-0	EF100697	39.4	aerobic	0.4	3.35	non-motile	no	"acid phosphatase, aesculin hydrolysis, catalase positive, oxidase positive"	Pedobacter	insulae	DS-139T	7.5	06-Oct	30	Apr-31	0.25	<2	no	rod	clump	1999	KCTC12820T5|DSM18684T	"adonitol, arabinose, cellobiose, glucose, glycerol, glycogen, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, rhamnose, salicin, sucrose, trehalose, xylose"		negative		No
soil	2011	10.1099/ijs.0.020495-0	EF100698	68.1	aerobic	3	0.6	non-motile	no	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Lysobacter	dokdonensis	DS-58T	7	06-Aug	30	Apr-38	0.25	0-0.5	yes	rod	not indicated	1089	KCTC12822T|DSM17958T	"alanine, alanine, dextrin, gelatin, glutamic acid, maltose, Tween 20, Tween 40, Tween 60, Tween 80"		negative		Yes
hotspring	2008	10.1099/ijs.0.65236-0	EF100908	36.4	anaerobic	3.1	0.6	flagella	no		Caldicellulosiruptor	hydrothermalis	108	7	06-Aug	65	50-80			NA	rod	not indicated	1492	DSM=18901|VKM=B-2411	"arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannitol, sucrose, xylose"		positive		No
hotspring	2008	10.1099/ijs.0.65236-0	EF100909	35.1	anaerobic	3.1	0.6	flagella	no		Caldicellulosiruptor	kronotskyensis	2002	7	06-Aug	70	45-82			NA	rod	not indicated	1492	DSM=18902|VKM=B-2412	"arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannitol, sucrose, trehalose, xylose"		positive		No
other	2008	10.1099/ijs.0.64996-0	EF101168	37.3	aerobic	3.75	0.8	flagella	yes	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, gelatinase, nitrate reduction to nitrite"	Virgibacillus	chiguensis	NTU-101	7.5	05-Sep	40	15-50	7.5	0-30	NA	rod	not indicated	341	BCRC=17637|CGMCC=1.6496	"cellobiose, fructose, glucose, maltose, mannose, sucrose"		positive	Saltern	No
soil	2008	10.1099/ijs.0.65521-0	EF104116	70.1	aerobic			non-motile	yes	"aesculin hydrolysis, nitrate reduction to nitrite, urease positive"	Saccharopolyspora	shandongensis	88		5.5-9.5		15-38		Less than 7%	yes	not indicated	not indicated	1094	CGMCC=4.3530|JCM=14614	"acetate, adonitol, arabinose, cellobiose, citric acide (citrate), melibiose, sorbitol, succinic acid (succinate), trehalose"		positive		No
estuarine sediment	2007	10.1099/ijs.0.65060-0	EF108218	40.1	aerobic	2	0.85	non-motile		"acid phosphatase, alkaline phosphatase, alpha-galactosidase, gelatinase"	Lutimonas	vermicola	IMCC1616T	8	5.0-11	25	3.0-37	2	0.5-7.5	yes	rod		1679	KCCM42379T|NBRC102041T	"acetate, alanine, alaninamide, alanine, alpha-cyclodextrin, asparagine, aspartic acid (aspartate), cellobiose, citric acide (citrate), fructose, fucose, galactose, galcturonic acid, glucose, glutamic acid, glycerol, glycogen, histidine, hyroxl-proline, inosine, lactate, lactose, maltose, mannose, melibiose, methyl beta-D-glucoside, myo-inositol, N-acetylgulcosamine, ornithine, proline, raffinose, rhamnose, sorbitol, succinic acid (succinate), sucrose, threonine, thymidine, trehalose, xylose"		negative		Yes
seawater	2008	10.1099/ijs.0.65382-0	EF108219	38.1	aerobic	1.35	0.65	non-motile	not indicated	catalase positive	Gaetbulibacter	marinus	IMCC1914	9	08-Nov	25	Mar-37	1.25	0.5-4	yes	rod	not indicated	315	KCCM=42380|NBRC=102040	"acetate, alanine, alaninamide, alanine, alpha-cyclodextrin, asparagine, aspartic acid (aspartate), cellobiose, dextrin, fructose, glucose, glutamic acid, lactose, maltose, mannose, methyl beta-D-glucoside, ornithine, proline, propionic acid (propionate), serine, sucrose, threonine, trehalose"		negative		Yes
human - mouth	2008	10.1099/ijs.0.65093-0	EF108443		NA		0.4	non-motile	no	"alkaline phosphatase, nitrate reduction to nitrite"	Veillonella	rogosae	CF100							NA	cocci	chain	581	CCUG=54233|DSM=18960			negative		No
other	2009	10.1099/ijs.0.002527-0	EF114311	40	NA			"motile, but unspecified structure"	yes	"catalase positive, gelatinase, indole production, nitrate reduction to nitrite, oxidase positive"	Bacillus	isronensis	B3W22T	8	06-Oct	28	May-37		<5.8	no	rod	clump	2977	MTCC7902T|JCM13838T	"adonitol, asparagine, cellobiose, dextrin, fructose, glycerol, glycine, lactate, lactose, leucine, maltose, methyl beta-D-glucoside, myo-inositol, N-acetylgulcosamine, ornithine, propionic acid (propionate), pyruvic acid (pyruvate), trehalose, tryptophan, Tween 80, xylitol, xylose"		positive	cryotubes	No
other	2009	10.1099/ijs.0.002527-0	EF114313	38	NA			"motile, but unspecified structure"	yes	"catalase positive, oxidase positive, urease positive"	Bacillus	aryabhattai	B8W22T		06-Oct	28	Oct-37		<11.6	yes	rod	clump	2977	MTCC7755T|JCM13839T	"gelatin, glycerol, myo-inositol, ornithine"		positive	cryotubes	No
